AgeAbove35,Accessibility,Employment,MentalHealth,YearsCodePro,Employed,Skills_dist,has_advanced_degree,salary_per_year_exp,NoHigherEd,HasTopCountry,Gender_Woman,MainBranch_NotDev
0,1,1,1,8,0,0,0,3602.6666666666665,0,0,0,0
1,0,1,0,14,1,2,0,3747.2,1,1,0,0
1,0,1,1,33,1,2,0,5147.058823529412,0,1,0,0
0,0,1,0,3,1,1,0,10539.0,1,0,0,0
1,0,1,0,8,1,2,0,10117.333333333334,0,0,0,0
1,0,1,0,25,0,1,0,2618.0,0,1,1,0
1,0,0,0,50,0,0,0,490.19607843137254,0,1,0,1
0,0,1,0,2,1,2,0,3288.0,0,0,0,0
1,0,1,1,4,0,0,0,11140.4,0,1,0,1
0,0,1,0,2,1,2,0,3944.0,1,0,0,0
0,0,0,0,7,1,1,1,5154.0,0,0,0,0
0,0,1,0,1,0,1,1,3426.0,0,0,0,0
0,0,1,0,5,1,2,1,6521.833333333333,0,0,0,0
0,0,1,0,8,1,2,1,5182.666666666667,0,0,0,0
0,0,1,0,4,1,0,0,14400.0,0,1,0,0
1,0,1,0,20,1,2,0,5238.0952380952385,0,1,0,0
0,0,1,0,12,1,1,0,3492.3846153846152,0,0,0,0
0,0,1,1,13,1,0,0,11071.42857142857,0,1,0,0
0,0,0,0,9,1,2,0,5456.4,1,0,0,0
0,0,0,0,4,1,2,1,4860.0,0,0,0,0
0,0,1,0,14,1,2,0,5059.0,0,1,0,0
0,0,1,0,7,0,0,1,15625.0,0,1,0,0
1,0,1,0,35,0,1,0,1944.4444444444443,0,1,0,0
0,0,1,0,9,1,1,0,3000.0,1,0,0,0
0,0,1,1,4,0,0,0,21000.0,0,1,0,0
1,0,1,0,24,0,0,1,2748.96,0,0,0,0
0,0,1,0,4,0,1,0,2198.4,0,0,0,0
0,0,1,0,3,1,1,0,10125.0,0,0,0,0
0,0,1,0,1,0,0,1,9576.0,0,0,0,0
0,0,1,0,1,0,0,0,6414.0,0,0,0,0
1,0,1,0,10,1,2,1,7075.636363636364,0,1,0,0
0,0,0,1,0,0,0,0,16050.0,0,0,0,0
1,0,0,0,7,0,1,0,6366.0,0,0,0,0
0,0,0,1,1,1,2,0,2934.0,0,1,0,0
1,0,1,0,25,1,2,0,6000.0,0,1,0,0
1,0,1,0,20,1,2,0,7421.142857142857,0,0,0,0
0,0,1,0,5,0,0,0,12983.333333333334,0,1,0,1
0,0,1,0,2,1,2,1,9281.333333333334,0,0,0,1
1,1,1,0,15,1,0,0,7880.1875,0,0,0,0
0,0,1,0,6,0,0,0,7386.285714285715,0,1,0,0
1,0,1,0,16,0,0,1,2988.5882352941176,0,0,0,0
1,0,0,0,30,1,2,1,3487.0967741935483,0,0,0,0
0,0,1,0,4,0,1,0,7680.0,0,0,0,0
1,0,1,0,12,0,0,1,7982.7692307692305,0,0,0,1
0,0,0,0,2,1,0,1,15000.0,0,1,0,0
0,0,1,0,3,1,1,0,2443.25,0,1,0,0
0,0,1,0,4,0,0,1,9080.2,0,1,0,0
1,0,1,1,15,1,2,0,7500.0,0,1,0,0
0,0,1,0,8,0,1,0,7388.888888888889,0,1,0,0
1,0,1,1,5,1,0,0,5204.0,0,0,1,0
0,0,1,0,6,0,0,1,1148.5714285714287,0,1,0,0
0,0,1,0,5,1,2,0,1224.0,0,0,0,0
0,0,1,1,2,1,1,1,1148.0,0,0,0,0
0,1,0,1,1,0,1,0,1782.0,0,0,0,1
0,0,1,1,5,0,0,0,8216.0,0,0,0,0
0,0,1,0,7,0,2,0,15625.0,0,1,0,0
0,0,1,0,6,0,0,1,6640.285714285715,0,0,0,0
0,0,0,0,1,1,2,0,10056.0,0,0,0,0
0,0,1,1,10,1,0,0,2665.4545454545455,0,1,0,0
0,0,1,0,2,0,0,0,2516.0,0,0,0,0
1,0,1,0,22,1,1,1,5057.95652173913,0,1,0,0
1,0,1,0,3,0,0,0,13512.25,0,0,0,1
0,0,1,1,12,1,1,0,4157.615384615385,0,1,0,0
0,0,1,0,6,1,1,0,4632.714285714285,1,0,0,0
0,0,1,0,5,0,0,1,4540.0,0,0,0,0
0,0,1,0,1,0,0,1,35546.5,0,1,0,0
0,0,1,0,3,0,0,0,1374.0,0,0,0,0
0,0,1,0,2,1,1,0,4752.0,0,0,0,0
0,0,1,0,3,1,2,1,8107.25,0,0,1,0
1,0,1,0,25,1,0,0,6153.846153846154,0,1,0,0
0,0,0,0,14,1,2,0,4398.4,0,0,0,0
0,0,1,0,6,1,2,0,3860.714285714286,1,0,0,0
0,0,1,0,1,0,1,0,24580.0,0,1,0,0
0,0,1,0,3,1,2,0,16000.0,0,1,0,0
0,0,1,0,9,1,1,1,5715.6,0,0,0,0
0,0,1,0,10,0,0,0,3596.7272727272725,0,0,0,0
1,0,1,0,8,0,0,0,5601.222222222223,0,1,0,0
0,0,1,0,4,0,1,1,10809.8,0,1,0,1
0,0,0,0,4,1,2,0,11889.6,0,0,0,0
0,0,1,0,7,0,0,1,16875.0,0,1,0,0
0,0,1,0,14,0,1,0,7020.0,0,0,0,0
0,0,1,0,0,1,2,0,13332.0,1,0,0,0
0,0,1,0,4,1,2,1,9296.4,0,0,0,0
0,0,0,0,4,0,1,1,36000.0,0,0,0,0
0,0,1,0,4,0,1,0,3573.6,0,0,0,0
0,0,1,0,2,1,0,0,8648.0,0,0,0,0
0,0,1,0,2,0,0,1,24990.0,0,1,0,0
0,0,0,1,8,1,2,1,2886.6666666666665,0,0,0,0
0,0,1,1,3,1,1,0,13235.5,0,1,0,0
0,0,0,0,1,1,1,0,4864.5,0,0,0,0
0,0,1,0,2,0,0,1,13404.0,0,0,0,0
0,0,1,0,3,1,2,0,21250.0,0,1,0,0
0,0,1,0,4,1,2,0,1730.4,0,0,0,0
0,0,1,1,2,0,0,0,15133.666666666666,0,0,0,0
0,0,1,1,15,0,0,0,7500.0,0,1,0,0
1,0,1,0,15,1,2,0,2577.0,0,0,0,0
0,0,1,0,11,0,1,1,12916.666666666666,0,1,0,0
0,0,1,0,6,1,1,1,7626.857142857143,0,0,0,0
0,0,1,0,2,1,2,0,18016.333333333332,0,1,0,0
1,0,1,0,24,1,0,1,2308.8,0,0,0,0
0,0,1,0,7,1,2,0,6810.0,1,1,0,0
0,0,0,0,13,0,0,0,8142.857142857143,0,1,0,0
0,0,1,1,6,0,0,1,4940.571428571428,0,0,0,0
1,0,1,0,15,1,2,1,2300.25,0,0,0,0
1,0,1,0,11,0,1,0,4323.916666666667,0,1,0,0
