id,HaveWorkedWith
70,JavaScript
70,PowerShell
70,TypeScript
70,Git
70,Yarn
70,Angular
70,Angular.js
70,ASP.NET
70,ASP.NET Core 
70,jQuery
70,AWS
70,Google Cloud Platform
70,Microsoft Azure
70,Microsoft SQL Server
70,MongoDB
70,Redis
71,Assembly
71,Python
72,Matlab
73,JavaScript
73,PHP
73,SQL
73,React.js
73,Symfony
73,MySQL
74,HTML/CSS
74,JavaScript
74,Python
74,SQL
74,Git
74,Flask
74,DigitalOcean
74,Heroku
74,SQLite
75,Python
75,R
75,Git
75,AWS
75,Microsoft SQL Server
76,C
76,C#
76,C++
76,Java
76,Kotlin
76,PHP
76,SQL
76,Docker
76,Git
76,Kubernetes
76,Spring
76,Microsoft Azure
76,IBM DB2
76,Microsoft SQL Server
76,MySQL
76,Oracle
76,PostgreSQL
77,Bash/Shell
77,Groovy
77,HTML/CSS
77,Java
77,JavaScript
77,Ruby
77,SQL
77,TypeScript
77,Docker
77,Git
77,Angular
77,Spring
77,Google Cloud Platform
77,Oracle
77,PostgreSQL
78,Go
78,JavaScript
78,Python
78,SQL
78,Docker
78,Git
78,DigitalOcean
78,Cassandra
78,Elasticsearch
78,PostgreSQL
78,Redis
79,Groovy
79,Java
79,Kotlin
79,Git
79,AWS
79,Google Cloud Platform
79,SQLite
80,Java
80,JavaScript
80,SQL
80,Git
80,jQuery
80,Spring
80,IBM Cloud or Watson
80,Microsoft Azure
80,IBM DB2
80,MariaDB
80,Microsoft SQL Server
80,MySQL
81,C
81,C++
81,HTML/CSS
81,JavaScript
82,C
82,C++
82,Delphi
82,Go
82,HTML/CSS
82,Perl
82,Python
82,R
82,Ruby
82,Rust
82,Docker
82,Git
82,Terraform
82,Django
82,Flask
82,AWS
82,DynamoDB
82,MariaDB
82,MongoDB
82,MySQL
82,PostgreSQL
82,SQLite
83,C#
83,HTML/CSS
83,JavaScript
83,PHP
83,SQL
83,Docker
83,Git
83,Yarn
83,jQuery
83,React.js
83,Symfony
83,Vue.js
83,AWS
83,Elasticsearch
83,MariaDB
83,MySQL
83,PostgreSQL
83,Redis
84,Java
84,TypeScript
84,Git
84,Angular
84,Spring
